relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-10碼頭\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,551071,2026-09-17T18:54:02+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6055,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-10碼頭\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,552398,2026-09-17T18:54:02+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6050,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-10碼頭\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,503315,2026-09-17T18:54:02+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,5598,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-10碼頭\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,531069,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,5900,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-10碼頭\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,536800,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,5964,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,52,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,1359752,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,13252,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,1284146,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,12455,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,811696,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,7888,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,655962,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6319,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,630398,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6084,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-一港口底碇式波流觀測站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,543899,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,5379,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\LonLat.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,54,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,557725,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,6162,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,3351592,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,36669,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\qc\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,3342381,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,36769,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,468783,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,5134,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,549686,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6053,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\IHMT\高雄港-二港口北堤綠燈塔\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（IHMT）,.csv,546087,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6054,IHMT,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,IHMT realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（IHMT）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\一般碼頭\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,52,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\一般碼頭\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,236547,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,1880,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\一般碼頭\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,605,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,3,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\中角灣遙測站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,51,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\佳樂水遙測站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,48,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,50,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,939677,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,7804,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\qc\2024.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,854159,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,6967,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,4773600,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,13223,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,4521891,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,8519,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\南灣資料浮標站\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,1433960,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,3650,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\員貝嶼\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,52,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\員貝嶼\qc\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,1236282,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,12301,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR qc（品管歷史） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\員貝嶼\realtime\2023.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,659459,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2023–2023,2872,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\員貝嶼\realtime\2024.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,1067198,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2024–2024,8776,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\員貝嶼\realtime\2025.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,1795984,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,測站編號; 時間; 陣風_風速; 風速; 風向; 氣壓; 氣溫; 海面溫度; 示性波高; 平均週期; 波向; 波浪尖峰週期; 流速; 分層流速{深度:流速}; 流向,中心經度; 中心緯度,,時間,2025–2025,6290,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR realtime（即時） 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\NAMR\四季灣遙測站\LonLat.csv,歷史品管與即時海氣象水文觀測資料（NAMR）,.csv,50,2026-09-17T18:54:03+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,NAMR,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,NAMR 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（NAMR）；確認 qc 與 realtime 時間範圍
